Name,Price,Stock,Category,Review
The Secret Garden,£15.08,Four,Classics,In stock (5 available)
The Metamorphosis,£28.58,One,Classics,In stock (5 available)
The Pilgrim's Progress,£50.26,Two,Classics,In stock (4 available)
The Hound of the Baskervilles (Sherlock Holmes #5),£14.82,Two,Classics,In stock (4 available)
Little Women (Little Women #1),£28.07,Four,Classics,In stock (4 available)
Gone with the Wind,£32.49,Three,Classics,In stock (4 available)
Candide,£58.63,Three,Classics,In stock (4 available)
Animal Farm,£57.22,Three,Classics,In stock (4 available)
Wuthering Heights,£17.73,Three,Classics,In stock (3 available)
The Picture of Dorian Gray,£29.70,Two,Classics,In stock (3 available)
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),£26.78,Four,Classics,In stock (3 available)
Beowulf,£38.35,Two,Classics,In stock (3 available)
And Then There Were None,£35.01,Two,Classics,In stock (3 available)
The Story of Hong Gildong,£43.19,Four,Classics,In stock (1 available)
The Little Prince,£45.42,Two,Classics,In stock (1 available)
Sense and Sensibility,£37.46,One,Classics,In stock (1 available)
Of Mice and Men,£47.11,Two,Classics,In stock (1 available)
Emma,£32.93,Two,Classics,In stock (1 available)
Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53,One,Classics,In stock (1 available)
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,Science Fiction,In stock (19 available)
Join,£35.67,Five,Science Fiction,In stock (16 available)
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,Four,Science Fiction,In stock (15 available)
The Project,£10.65,One,Science Fiction,In stock (15 available)
Soft Apocalypse,£26.12,Two,Science Fiction,In stock (15 available)
Sleeping Giants (Themis Files #1),£48.74,One,Science Fiction,In stock (11 available)
Arena,£21.36,Four,Science Fiction,In stock (11 available)
Foundation (Foundation (Publication Order) #1),£32.42,One,Science Fiction,In stock (5 available)
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),£10.92,One,Science Fiction,In stock (3 available)
Ready Player One,£19.07,Four,Science Fiction,In stock (3 available)
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",£33.26,Two,Science Fiction,In stock (3 available)
Dune (Dune #1),£54.86,One,Science Fiction,In stock (3 available)
Do Androids Dream of Electric Sheep? (Blade Runner #1),£51.48,One,Science Fiction,In stock (3 available)
Three Wishes (River of Time: California #1),£44.18,Two,Science Fiction,In stock (1 available)
The Last Girl (The Dominion Trilogy #1),£36.26,Two,Science Fiction,In stock (1 available)
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,Four,Science Fiction,In stock (1 available)
The Long Haul (Diary of a Wimpy Kid #9),£44.07,One,Humor,In stock (14 available)
Old School (Diary of a Wimpy Kid #10),£11.83,Five,Humor,In stock (14 available)
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,£25.98,Four,Humor,In stock (14 available)
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",£14.75,Five,Humor,In stock (14 available)
Dress Your Family in Corduroy and Denim,£43.68,Three,Humor,In stock (9 available)
Toddlers Are A**holes: It's Not Your Fault,£25.55,One,Humor,In stock (7 available)
When You Are Engulfed in Flames,£30.89,Five,Humor,In stock (3 available)
Naked,£31.69,Three,Humor,In stock (3 available)
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",£55.50,Five,Humor,In stock (3 available)
Holidays on Ice,£51.07,Two,Humor,In stock (3 available)
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,Business,In stock (19 available)
The Third Wave: An Entrepreneurâs Vision of the Future,£12.61,Five,Business,In stock (15 available)
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,Three,Business,In stock (15 available)
Shoe Dog: A Memoir by the Creator of NIKE,£23.99,Two,Business,In stock (15 available)
Made to Stick: Why Some Ideas Survive and Others Die,£38.85,Five,Business,In stock (14 available)
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,£43.14,One,Business,In stock (12 available)
The Art of Startup Fundraising,£21.00,Three,Business,In stock (11 available)
Born for This: How to Find the Work You Were Meant to Do,£21.59,Five,Business,In stock (11 available)
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,£36.91,One,Business,In stock (8 available)
"Rich Dad, Poor Dad",£51.74,One,Business,In stock (7 available)
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,£33.92,Three,Business,In stock (3 available)
Rework,£44.88,Two,Business,In stock (3 available)
